File 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Comment,Mastery,Shez M,Shez F,Byleth M,Byleth F,Edelgard,Hubert,Dorothea,Ferdinand,Bernadetta,Caspar,Petra,Linhardt,Dimitri,Dedue,Felix,Mercedes,Ashe,Annette,Sylvain,Ingrid,Claude,Lorenz,Hilda,Raphael,Lysithea,Ignatz,Marianne,Leonie,Yuri,Constance,Balthus,Hapi,Manuela,Hanneman?,Seteth,Flayn,Cyril?,Catherine,Alois?,Gilbert?,Shamir,Jeralt,Rhea,Anna?,Jeritza,Rodrigue,Monica,Holst,?,?,?,Sothis,Arval M,Gatekeeper,Arval F
,,3-star,Smash,Smash,Smash,Smash,Smash,Swinging Fury,Swinging Fury,Smash,Spiral Shot,Swinging Fury,Smash,Smash,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Tracking Shot,Smash,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Smash,Dual Devastators,Smash,Spiral Shot,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Dual Devastators,Swinging Fury,Swinging Fury,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Swinging Fury,Swinging Fury,Swinging Fury,Spiral Shot,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Swinging Fury,Smash,Swinging Fury,Smash,Smash,Smash,Smash,Smash,Smash,Smash
05,Monk,1-star,Res +2,Res +2,Res +2,Res +2,Trust,Trust,Res +2,Trust,Trust,Trust,Res +2,Trust,Trust,Res +2,Trust,Res +2,Res +2,Trust,Trust,Trust,Trust,Trust,Trust,Res +2,Trust,Res +2,Trust,Res +2,Res +2,Trust,Trust,Res +2,Res +2,Trust,Trust,Trust,Trust,Trust,Res +2,Trust,Res +2,Res +2,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Res +2,Res +2,Res +2
,,2-star,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith
,,3-star,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Wind,Heal,Heal,Heal,Fire,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Heal,Blizzard,Heal,Heal,Heal,Heal,Heal,Thunder,Heal,Heal,Wind,Heal,Heal,Heal,Heal,Heal,Heal,Fire,Heal,Heal,Thunder,Heal,Heal,Heal,Heal,Heal,Excalibur,Heal,Heal,Heal
06,(Lord?),none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,Mercenary,1-star,Vantage,Vantage,Battalion Vantage,Battalion Vantage,Battalion Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Battalion Vantage,Vantage,Battalion Vantage,Vantage,Vantage,Vantage,Battalion Vantage,Vantage,Vantage,Battalion Vantage,Vantage,Vantage,Vantage,Battalion Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Battalion Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage,Vantage
,,2-star,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess
,,,Firesweep,Firesweep,Windsweep,Windsweep,Firesweep,Windsweep,Windsweep,Firesweep,Firesweep,Firesweep,Windsweep,Windsweep,Windsweep,Firesweep,Firesweep,Windsweep,Windsweep,Windsweep,Firesweep,Firesweep,Windsweep,Firesweep,Windsweep,Firesweep,Firesweep,Firesweep,Firesweep,Firesweep,Windsweep,Firesweep,Firesweep,Firesweep,Windsweep,Firesweep,Windsweep,Windsweep,Firesweep,Firesweep,Firesweep,Firesweep,Windsweep,Windsweep,Firesweep,Firesweep,Windsweep,Windsweep,Firesweep,Windsweep,Firesweep,Firesweep,Firesweep,Windsweep,Windsweep,Windsweep,Windsweep
,,3-star,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Ploy,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom,Mercenary's Wisdom
08,Thief,1-star,Appraisal,Appraisal,Appraisal,Appraisal,Appraisal,Dex +2,Dex +2,Appraisal,Appraisal,Appraisal,Appraisal,Appraisal,Appraisal,Dex +2,Appraisal,Dex +2,Appraisal,Appraisal,Dex +2,Appraisal,Appraisal,Dex +2,Dex +2,Appraisal,Appraisal,Appraisal,Appraisal,Dex +2,Appraisal,Appraisal,Dex +2,Appraisal,Dex +2,Appraisal,Dex +2,Dex +2,Appraisal,Dex +2,Appraisal,Appraisal,Dex +2,Dex +2,Dex +2,Appraisal,Appraisal,Dex +2,Appraisal,Dex +2,Appraisal,Appraisal,Appraisal,Dex +2,Dex +2,Dex +2,Dex +2
,,2-star,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess
,,3-star,Thief's Ploy,Thief's Ploy,Thief's Ploy,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Ploy,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Ploy,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Wisdom,Thief's Ploy,Thief's Ploy,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Wisdom,Thief's Ploy,Thief's Ploy,Thief's Ploy
,,,Shadowblade,Shadowblade,Iceblade,Iceblade,Lightblade,Shadowblade,Lightblade,Iceblade,Iceblade,Shadowblade,Shadowblade,Lightblade,Shadowblade,Iceblade,Shadowblade,Lightblade,Lightblade,Lightblade,Iceblade,Iceblade,Shadowblade,Lightblade,Lightblade,Shadowblade,Shadowblade,Iceblade,Iceblade,Iceblade,Lightblade,Lightblade,Shadowblade,Shadowblade,Shadowblade,Iceblade,Iceblade,Lightblade,Shadowblade,Iceblade,Iceblade,Iceblade,Iceblade,Shadowblade,Iceblade,Iceblade,Shadowblade,Lightblade,Iceblade,Shadowblade,Iceblade,Iceblade,Iceblade,Lightblade,Shadowblade,Iceblade,Shadowblade
09,Armored Knight,1-star,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics,Def +2,Def +2,Defensive Tactics,Def +2,Defensive Tactics,Defensive Tactics,Defensive Tactics,Def +2,Def +2,Defensive Tactics,Def +2,Defensive Tactics,Defensive Tactics,Def +2,Def +2,Defensive Tactics,Def +2,Defensive Tactics,Def +2,Defensive Tactics,Defensive Tactics,Def +2,Def +2,Defensive Tactics,Def +2,Def +2,Def +2,Def +2,Def +2,Def +2,Defensive Tactics,Def +2,Def +2,Def +2,Def +2,Def +2,Def +2,Def +2,Defensive Tactics,Def +2,Def +2,Defensive Tactics,Def +2,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics,Defensive Tactics
,,2-star,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess
,,,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Shredder,Lightning Axe,Shredder,Shredder,Shredder,Lightning Axe,Shredder,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Lightning Axe,Shredder,Shredder,Shredder,Lightning Axe,Lightning Axe,Shredder,Lightning Axe,Shredder,Lightning Axe,Lightning Axe,Shredder,Shredder,Lightning Axe,Lightning Axe,Shredder,Shredder,Shredder,Shredder,Shredder,Lightning Axe,Shredder,Lightning Axe,Lightning Axe,Shredder,Shredder,Shredder,Shredder,Shredder,Lightning Axe,Shredder,Shredder,Shredder,Shredder,Lightning Axe,Lightning Axe,Lightning Axe
,,3-star,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Wisdom,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Ploy,Armored Infantry's Ploy
0A,Cavalier,1-star,Desperation,Desperation,Battalion Desperation,Battalion Desperation,Desperation,Battalion Desperation,Battalion Desperation,Battalion Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Battalion Desperation,Desperation,Desperation,Battalion Desperation,Battalion Desperation,Desperation,Desperation,Desperation,Battalion Desperation,Battalion Desperation,Desperation,Battalion Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Battalion Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Battalion Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation,Desperation
,,2-star,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess
,,,Frozen Lance,Frozen Lance,Glowing Ember,Glowing Ember,Glowing Ember,Frozen Lance,Thunder Rush,Glowing Ember,Frozen Lance,Glowing Ember,Thunder Rush,Thunder Rush,Glowing Ember,Glowing Ember,Thunder Rush,Glowing Ember,Thunder Rush,Glowing Ember,Glowing Ember,Frozen Lance,Glowing Ember,Frozen Lance,Thunder Rush,Glowing Ember,Frozen Lance,Frozen Lance,Frozen Lance,Glowing Ember,Glowing Ember,Frozen Lance,Glowing Ember,Frozen Lance,Thunder Rush,Frozen Lance,Thunder Rush,Frozen Lance,Thunder Rush,Glowing Ember,Thunder Rush,Frozen Lance,Frozen Lance,Thunder Rush,Glowing Ember,Glowing Ember,Glowing Ember,Frozen Lance,Glowing Ember,Thunder Rush,Thunder Rush,Thunder Rush,Thunder Rush,Glowing Ember,Frozen Lance,Frozen Lance,Frozen Lance
,,3-star,Knight's Ploy,Knight's Ploy,Knight's Ploy,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Ploy,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Ploy,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Wisdom,Knight's Ploy,Knight's Ploy,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Wisdom,Knight's Ploy,Knight's Ploy,Knight's Ploy
0B,Brigand,1-star,Death Blow,Death Blow,Death Blow,Death Blow,Wild Abandon,Wild Abandon,Death Blow,Wild Abandon,Wild Abandon,Wild Abandon,Death Blow,Wild Abandon,Wild Abandon,Death Blow,Wild Abandon,Death Blow,Death Blow,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Death Blow,Wild Abandon,Death Blow,Wild Abandon,Death Blow,Death Blow,Wild Abandon,Wild Abandon,Death Blow,Death Blow,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Death Blow,Wild Abandon,Death Blow,Death Blow,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Wild Abandon,Death Blow,Death Blow,Death Blow
,,2-star,Spike,Spike,Spike,Spike,Spike,Invigorating Spirit,Invigorating Spirit,Spike,Spike,Invigorating Spirit,Spike,Spike,Spike,Invigorating Spirit,Spike,Invigorating Spirit,Spike,Spike,Spike,Spike,Spike,Invigorating Spirit,Spike,Spike,Spike,Spike,Spike,Invigorating Spirit,Spike,Spike,Invigorating Spirit,Invigorating Spirit,Invigorating Spirit,Spike,Invigorating Spirit,Invigorating Spirit,Spike,Invigorating Spirit,Spike,Spike,Invigorating Spirit,Invigorating Spirit,Invigorating Spirit,Spike,Spike,Invigorating Spirit,Spike,Invigorating Spirit,Spike,Spike,Spike,Invigorating Spirit,Invigorating Spirit,Invigorating Spirit,Invigorating Spirit
,,3-star,Warrior's Ploy,Warrior's Ploy,Warrior's Ploy,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Ploy,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Ploy,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Wisdom,Warrior's Ploy,Warrior's Ploy,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Wisdom,Warrior's Ploy,Warrior's Ploy,Warrior's Ploy
